,id,name,season,score,year,link,image,genre,producers,members,start_date,end_date,studios,source,themes,duration,rank,popularity,favorites,demographics
0,41467,Bleach: Sennen Kessen-hen,fall,9.03,2022,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,https://cdn.myanimelist.net/images/anime/1908/135431.jpg,"Action, Adventure, Fantasy","TV Tokyo, Aniplex, Dentsu, Shueisha",520408,2022-10-11T00:00:00+00:00,2022-12-27T00:00:00+00:00,Pierrot,Manga,,24 min per ep,8,419,20105,Shounen
1,43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,spring,9.02,2022,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,https://cdn.myanimelist.net/images/anime/1160/122627.jpg,"Comedy, Romance","Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications",902664,2022-04-09T00:00:00+00:00,2022-06-25T00:00:00+00:00,A-1 Pictures,Manga,School,23 min per ep,12,183,30776,Seinen
2,42938,Fruits Basket: The Final,spring,8.98,2021,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,https://cdn.myanimelist.net/images/anime/1085/114792.jpg,"Drama, Romance, Supernatural","TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music, 8PAN",466428,2021-04-06T00:00:00+00:00,2021-06-29T00:00:00+00:00,TMS Entertainment,Manga,,23 min per ep,13,476,19780,Shoujo
3,51009,Jujutsu Kaisen 2nd Season,summer,8.87,2023,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,https://cdn.myanimelist.net/images/anime/1792/138022.jpg,"Action, Fantasy","Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Sumzap",833708,2023-07-06T00:00:00+00:00,2023-12-28T00:00:00+00:00,MAPPA,Manga,"Gore, School",23 min per ep,25,211,18584,Shounen
4,40682,Kingdom 3rd Season,spring,8.82,2020,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,https://cdn.myanimelist.net/images/anime/1443/111830.jpg,Action,Shueisha,99561,2020-04-06T00:00:00+00:00,2021-10-17T00:00:00+00:00,"Pierrot,Studio Signpost",Manga,"Historical, Military",25 min per ep,28,2054,2035,Seinen
5,47917,Bocchi the Rock!,fall,8.8,2022,https://myanimelist.net/anime/47917/Bocchi_the_Rock,https://cdn.myanimelist.net/images/anime/1448/127956.jpg,Comedy,"Aniplex, Houbunsha",533814,2022-10-09T00:00:00+00:00,2022-12-25T00:00:00+00:00,CloverWorks,4-koma manga,"CGDCT, Music",23 min per ep,34,408,25972,
6,49387,Vinland Saga Season 2,winter,8.8,2023,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,https://cdn.myanimelist.net/images/anime/1170/124312.jpg,"Action, Adventure, Drama","Dentsu, Kodansha, Twin Engine",570740,2023-01-10T00:00:00+00:00,2023-06-20T00:00:00+00:00,MAPPA,Manga,"Gore, Historical",25 min per ep,32,377,12870,Seinen
7,40028,Shingeki no Kyojin: The Final Season,winter,8.79,2021,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,https://cdn.myanimelist.net/images/anime/1000/110531.jpg,"Action, Drama, Suspense","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",1962199,2020-12-07T00:00:00+00:00,2021-03-29T00:00:00+00:00,MAPPA,Manga,"Gore, Military, Survival",23 min per ep,36,35,52051,Shounen
8,48583,Shingeki no Kyojin: The Final Season Part 2,winter,8.77,2022,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,https://cdn.myanimelist.net/images/anime/1948/120625.jpg,"Action, Drama, Suspense","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprises",1255351,2022-01-10T00:00:00+00:00,2022-04-04T00:00:00+00:00,MAPPA,Manga,"Gore, Military, Survival",23 min per ep,41,103,29902,Shounen
9,47778,Kimetsu no Yaiba: Yuukaku-hen,winter,8.76,2022,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,https://cdn.myanimelist.net/images/anime/1908/120036.jpg,"Action, Fantasy","Aniplex, Shueisha",1385315,2021-12-05T00:00:00+00:00,2022-02-13T00:00:00+00:00,ufotable,Manga,Historical,26 min per ep,42,91,24278,Shounen
