,id,name,season,score,year,link,image,genre,producers,members,start_date,end_date,studios,source,themes,duration,rank,popularity,favorites,demographics
0,41467,Bleach: Sennen Kessen-hen,fall,9.04,2022.0,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,https://cdn.myanimelist.net/images/anime/1908/135431.jpg,"Action, Adventure, Fantasy","TV Tokyo, Aniplex, Dentsu, Shueisha",504772,2022-10-11T00:00:00+00:00,2022-12-27T00:00:00+00:00,Pierrot,Manga,,24 min per ep,6.0,425,19803,Shounen
1,43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,spring,9.03,2022.0,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,https://cdn.myanimelist.net/images/anime/1160/122627.jpg,"Comedy, Romance","Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications",882949,2022-04-09T00:00:00+00:00,2022-06-25T00:00:00+00:00,A-1 Pictures,Manga,School,23 min per ep,11.0,186,30436,Seinen
2,42938,Fruits Basket: The Final,spring,8.99,2021.0,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,https://cdn.myanimelist.net/images/anime/1085/114792.jpg,"Drama, Romance, Supernatural","TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music, 8PAN",457564,2021-04-06T00:00:00+00:00,2021-06-29T00:00:00+00:00,TMS Entertainment,Manga,,23 min per ep,13.0,476,19581,Shoujo
3,47917,Bocchi the Rock!,fall,8.81,2022.0,https://myanimelist.net/anime/47917/Bocchi_the_Rock,https://cdn.myanimelist.net/images/anime/1448/127956.jpg,Comedy,"Aniplex, Houbunsha",507667,2022-10-09T00:00:00+00:00,2022-12-25T00:00:00+00:00,CloverWorks,4-koma manga,"CGDCT, Music",23 min per ep,29.0,421,24693,
4,40682,Kingdom 3rd Season,spring,8.81,2020.0,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,https://cdn.myanimelist.net/images/anime/1443/111830.jpg,Action,Shueisha,96933,2020-04-06T00:00:00+00:00,2021-10-17T00:00:00+00:00,"Pierrot,Studio Signpost",Manga,"Historical, Military",25 min per ep,28.0,2057,1974,Seinen
5,49387,Vinland Saga Season 2,winter,8.8,2023.0,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,https://cdn.myanimelist.net/images/anime/1170/124312.jpg,"Action, Adventure, Drama","Dentsu, Kodansha, Twin Engine",542050,2023-01-10T00:00:00+00:00,2023-06-20T00:00:00+00:00,MAPPA,Manga,"Gore, Historical",25 min per ep,33.0,394,11810,Seinen
6,40028,Shingeki no Kyojin: The Final Season,winter,8.79,2021.0,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,https://cdn.myanimelist.net/images/anime/1000/110531.jpg,"Action, Drama, Suspense","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",1933064,2020-12-07T00:00:00+00:00,2021-03-29T00:00:00+00:00,MAPPA,Manga,"Gore, Military, Survival",23 min per ep,36.0,36,51898,Shounen
7,47778,Kimetsu no Yaiba: Yuukaku-hen,winter,8.77,2022.0,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,https://cdn.myanimelist.net/images/anime/1908/120036.jpg,"Action, Fantasy","Aniplex, Shueisha",1353338,2021-12-05T00:00:00+00:00,2022-02-13T00:00:00+00:00,ufotable,Manga,Historical,26 min per ep,39.0,92,24166,Shounen
8,48583,Shingeki no Kyojin: The Final Season Part 2,winter,8.77,2022.0,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,https://cdn.myanimelist.net/images/anime/1948/120625.jpg,"Action, Drama, Suspense","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprises",1224902,2022-01-10T00:00:00+00:00,2022-04-04T00:00:00+00:00,MAPPA,Manga,"Gore, Military, Survival",23 min per ep,41.0,106,29715,Shounen
9,50160,Kingdom 4th Season,spring,8.74,2022.0,https://myanimelist.net/anime/50160/Kingdom_4th_Season,https://cdn.myanimelist.net/images/anime/1566/122794.jpg,Action,"Avex Pictures, Shueisha, NHK Enterprises",58735,2022-04-10T00:00:00+00:00,2022-10-02T00:00:00+00:00,"Pierrot,Studio Signpost",Manga,"Historical, Military",24 min per ep,46.0,2780,999,Seinen
10,52034,"""Oshi no Ko""",spring,8.73,2023.0,https://myanimelist.net/anime/52034/Oshi_no_Ko,https://cdn.myanimelist.net/images/anime/1812/134736.jpg,"Drama, Supernatural","Shueisha, CyberAgent, Kadokawa",707774,2023-04-12T00:00:00+00:00,2023-06-28T00:00:00+00:00,Doga Kobo,Manga,"Reincarnation, Showbiz",30 min per ep,48.0,277,26377,Seinen
11,53998,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,summer,8.72,2023.0,https://myanimelist.net/anime/53998/Bleach__Sennen_Kessen-hen_-_Ketsubetsu-tan,https://cdn.myanimelist.net/images/anime/1164/138058.jpg,"Action, Adventure, Fantasy","TV Tokyo, Aniplex, Dentsu, Shueisha, Zack Promotion",233146,2023-07-08T00:00:00+00:00,2023-09-30T00:00:00+00:00,Pierrot,Manga,,24 min per ep,52.0,1001,3743,Shounen
12,50172,Mob Psycho 100 III,fall,8.71,2022.0,https://myanimelist.net/anime/50172/Mob_Psycho_100_III,https://cdn.myanimelist.net/images/anime/1228/125011.jpg,"Action, Comedy, Supernatural","Shogakukan-Shueisha Productions, Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan",631321,2022-10-06T00:00:00+00:00,2022-12-22T00:00:00+00:00,Bones,Web manga,Super Power,23 min per ep,53.0,325,9596,
